,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_036.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],744879918274.0,7635730432,5909084624,0,2251528,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
,P14,Problem14_prop_036.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,507384043928.0,8157396992,5024854672,21,505872180352,1091078790,1,1,670,853,671,849,9,124,19,1,0,Unknown,7.7368421052631575,19.0,0.0
,P14,Problem14_prop_037.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,408622819978.0,8267497472,2057979368,87,401618698300,9292505941,2,3,670,853,1331,2522,606,1551,86,0,0,Unknown,11.0,0.0,0.0
,P14,Problem14_prop_037.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],635410822177.0,8265924608,4.49999216E+9,0,2316067,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_037.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],632586532807.0,7635730432,5477433984,0,2641521,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_037.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,393625036952.0,7635730432,1973030568,87,385991508434,9427044108,2,3,670,853,1331,2522,606,1551,86,0,0,Unknown,11.0,0.0,0.0
,P14,Problem14_prop_038.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],361840101536.0,7695499264,1698028928,33,351042137482,37797711607,7,20,670,853,4631,16745,2287,7381,32,0,0,-,7.40625,0.0,0.0
,P14,Problem14_prop_038.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],475402351191.0,7635730432,4509064152,0,2128206,0,7,20,670,2092,4631,41525,2851,22570,-,-,-,-,-,-,-
,P14,Problem14_prop_038.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],464350706011.0,7635730432,5069271936,0,2159350,0,7,20,670,2092,4631,41525,2851,22570,-,-,-,-,-,-,-
,P14,Problem14_prop_038.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],362639954548.0,7635730432,1175245912,33,352050124191,37737105069,7,20,670,853,4631,16745,2287,7381,32,0,0,-,7.40625,0.0,0.0
